Algorithm,Runtime
CubeSort,0.9919826984405518
CubeSort,1.3047704696655271
CubeSort,1.322150468826294
CubeSort,1.3941733837127686
CubeSort,1.52302885055542
CubeSort,1.6031179428100586
CubeSort,1.2370946407318115
CubeSort,1.373654842376709
CubeSort,2.1302201747894287
CubeSort,1.5508790016174316
CubeSort,1.5050172805786133
CubeSort,1.470719814300537
CubeSort,1.6629598140716553
CubeSort,1.3953077793121338
CubeSort,1.385669231414795
CubeSort,1.7353153228759766
CubeSort,1.497483253479004
CubeSort,1.636716604232788
CubeSort,1.5061042308807373
CubeSort,1.7681844234466553
CubeSort,1.8010451793670654
CubeSort,1.6281921863555908
CubeSort,1.493807315826416
CubeSort,2.1196930408477783
CubeSort,1.7263405323028564
CubeSort,1.246140718460083
CubeSort,1.2402331829071045
CubeSort,1.334662675857544
CubeSort,1.2482404708862305
CubeSort,1.601273775100708
CubeSort,1.4191079139709473
CubeSort,1.2200911045074463
CubeSort,1.4003193378448486
CubeSort,2.099005460739136
CubeSort,1.5788097381591797
CubeSort,1.499260187149048
CubeSort,1.4171571731567385
CubeSort,1.680818796157837
CubeSort,1.401463508605957
CubeSort,1.347799301147461
CubeSort,1.669142723083496
CubeSort,1.4407598972320557
CubeSort,1.6302504539489746
CubeSort,1.4862253665924072
CubeSort,1.6802728176116943
CubeSort,1.647542953491211
CubeSort,1.5864801406860352
CubeSort,1.4440069198608398
CubeSort,1.7465360164642334
CubeSort,1.6635220050811768
CubeSort,1.3065099716186523
CubeSort,1.2540128231048584
CubeSort,1.536867618560791
CubeSort,1.2872889041900637
CubeSort,1.5969972610473633
CubeSort,1.365101337432861
CubeSort,1.2342932224273682
CubeSort,1.4893147945404053
CubeSort,1.8505547046661377
CubeSort,1.6810355186462402
CubeSort,1.4016985893249512
CubeSort,1.5071418285369873
CubeSort,1.5160737037658691
CubeSort,1.411735773086548
CubeSort,1.341142654418945
CubeSort,1.812312126159668
CubeSort,1.4345974922180176
CubeSort,1.680906057357788
CubeSort,1.4963250160217283
CubeSort,1.8754887580871584
CubeSort,1.815376043319702
CubeSort,1.6354703903198242
CubeSort,1.4944117069244385
CubeSort,2.509147882461548
CubeSort,1.5558998584747314
CubeSort,1.283266544342041
CubeSort,1.3177053928375244
CubeSort,1.7323031425476074
CubeSort,1.342109203338623
CubeSort,1.6038167476654053
CubeSort,1.3371009826660156
CubeSort,1.2232515811920166
CubeSort,1.5310792922973633
CubeSort,1.717371702194214
CubeSort,1.7409024238586426
CubeSort,1.4328274726867676
CubeSort,1.4676039218902588
CubeSort,1.4654622077941897
CubeSort,1.4240262508392334
CubeSort,1.348839282989502
CubeSort,1.8496344089508057
CubeSort,1.5024538040161133
CubeSort,1.7729167938232422
CubeSort,1.538249969482422
CubeSort,1.8603661060333248
CubeSort,1.9196572303771973
CubeSort,1.6820425987243652
CubeSort,1.551161766052246
CubeSort,2.568824291229248
CubeSort,1.5728540420532229
QuickSort,6.013961553573608
QuickSort,7.163899421691895
QuickSort,8.386409759521484
QuickSort,7.117543697357178
QuickSort,8.45428991317749
QuickSort,6.845418453216553
QuickSort,7.81361198425293
QuickSort,8.153648376464844
QuickSort,8.106074810028076
QuickSort,7.809699296951294
QuickSort,7.245641946792602
QuickSort,7.846118450164795
QuickSort,8.4181489944458
QuickSort,10.043280601501465
QuickSort,8.951682806015015
QuickSort,8.608858108520508
QuickSort,7.91736888885498
QuickSort,7.580723524093628
QuickSort,7.849169254302978
QuickSort,8.183560132980347
QuickSort,6.442044734954834
QuickSort,8.262005805969238
QuickSort,7.479964971542358
QuickSort,7.425258874893188
QuickSort,7.966709613800049
QuickSort,6.748760223388672
QuickSort,7.658881425857544
QuickSort,8.091127157211304
QuickSort,7.736590385437012
QuickSort,7.793796539306641
QuickSort,7.82726526260376
QuickSort,7.612465858459473
QuickSort,8.204059839248657
QuickSort,9.864035606384276
QuickSort,9.252107858657835
QuickSort,8.34323763847351
QuickSort,7.531562805175781
QuickSort,7.3526716232299805
QuickSort,7.733916759490967
QuickSort,8.688106536865234
QuickSort,6.0672993659973145
QuickSort,7.951788663864136
QuickSort,8.047139883041382
QuickSort,6.959218978881836
QuickSort,7.952584743499756
QuickSort,7.232243776321411
QuickSort,8.204505443572998
QuickSort,7.783735990524292
QuickSort,8.165313243865967
QuickSort,7.842581748962402
QuickSort,7.787835121154785
QuickSort,7.643238067626953
QuickSort,7.750187397003174
QuickSort,10.38241195678711
QuickSort,8.999342203140259
QuickSort,8.072455644607544
QuickSort,7.7892022132873535
QuickSort,7.409616947174072
QuickSort,8.108847379684448
QuickSort,8.626039266586304
QuickSort,6.3569841384887695
QuickSort,8.272421598434448
QuickSort,7.433832883834839
QuickSort,7.182400465011597
QuickSort,7.989699125289917
QuickSort,7.014488697052002
QuickSort,7.682595491409302
QuickSort,7.889964818954468
QuickSort,7.992096662521362
QuickSort,7.492088079452515
QuickSort,7.1612653732299805
QuickSort,7.88960862159729
QuickSort,8.016879081726074
QuickSort,10.179621696472168
QuickSort,9.32410216331482
QuickSort,8.090084552764893
QuickSort,8.269854068756104
QuickSort,7.233095645904541
QuickSort,7.699291944503784
QuickSort,8.272989749908447
QuickSort,6.475985765457153
QuickSort,8.038483619689941
QuickSort,7.589301586151123
QuickSort,7.07628345489502
QuickSort,8.003207206726074
QuickSort,6.838769912719727
QuickSort,8.022154569625854
QuickSort,7.633810520172119
QuickSort,7.629132509231567
QuickSort,7.800953388214111
QuickSort,7.250710010528564
QuickSort,8.227132320404053
QuickSort,7.970616579055786
QuickSort,10.093951225280762
QuickSort,9.483014345169067
QuickSort,8.490341186523438
QuickSort,7.824054718017578
QuickSort,7.570284128189087
QuickSort,8.36219573020935
QuickSort,8.166329383850098
MergeSort,7.28016185760498
MergeSort,7.653696775436401
MergeSort,7.906838893890381
MergeSort,7.77359938621521
MergeSort,8.076988935470581
MergeSort,12.000040054321287
MergeSort,11.057329177856444
MergeSort,10.139847040176392
MergeSort,10.15564775466919
MergeSort,10.235151052474976
MergeSort,13.1322922706604
MergeSort,10.493048667907717
MergeSort,12.433598279953005
MergeSort,14.025307655334473
MergeSort,11.629059076309204
MergeSort,10.197784900665283
MergeSort,10.222095966339111
MergeSort,10.592676877975464
MergeSort,9.92126178741455
MergeSort,10.203248023986816
MergeSort,10.113930463790894
MergeSort,10.032318115234377
MergeSort,10.163605213165283
MergeSort,10.997361421585085
MergeSort,11.804673194885254
MergeSort,7.821860790252685
MergeSort,7.885601758956909
MergeSort,8.394498348236084
